,nOfCon,Dc,sAEC,beta,gamma
0,1,20,1500,0.6524526729374684,0.8823476802756065
1,1,20,5000,1.0188020784718663,0.880895266074882
2,1,20,15000,1.085722859639185,0.9554563064885614
3,1,20,50000,1.0936616642941464,0.902993637318424
4,1,20,150000,0.948762370845824,0.9199904434888
5,1,20,500000,0.9665302321732896,0.9039388494700852
6,1,60,1500,0.3369960310086709,0.930690114487152
7,1,60,5000,0.6747663565261431,0.9233512530306028
8,1,60,15000,0.9961335403593574,0.9432575874174786
9,1,60,50000,1.2046316060386943,0.8615349071835334
10,1,60,150000,1.0488357346980763,0.9083223547877436
11,1,60,500000,0.8302125172878447,0.9390247324162924
12,1,200,1500,0.129550533347487,0.9798972773326368
13,1,200,5000,0.3194234318617206,0.9584887854496136
14,1,200,15000,0.597865999372874,0.9276278232264772
15,1,200,50000,0.9029894850062032,0.9114174106752412
16,1,200,150000,0.9716227304990624,0.9593712396952832
17,1,200,500000,0.9300009817341912,0.9080995815550342
18,1,600,1500,0.0726437381017734,1.0431056427040533
19,1,600,5000,0.1424843265132759,0.9864088906287206
20,1,600,15000,0.3040640350522607,0.959182201737054
21,1,600,50000,0.5783697140091706,0.9524692455238766
22,1,600,150000,0.8734981990557293,0.8977261002274438
23,1,600,500000,0.9224394892357012,0.9182048180248388
24,1,2000,1500,0.0582711696033337,1.0495603275012817
25,1,2000,5000,0.0784717854947197,1.0181611000540396
26,1,2000,15000,0.1306151565442667,0.9975416724831424
27,1,2000,50000,0.3105854367583596,0.9518161315028472
28,1,2000,150000,0.5935439982086205,0.894306114395145
29,1,2000,500000,0.8310725730171444,0.9274938640260963
30,1,6000,1500,0.0537246858288351,1.0520408185110297
31,1,6000,5000,0.0594933451254011,1.0458949973194789
32,1,6000,15000,0.0748760140870284,1.034050030275553
33,1,6000,50000,0.143240602302415,0.987001576523941
34,1,6000,150000,0.3107732212147904,0.9592089779948748
35,1,6000,500000,0.6132586652114601,0.9010432477859108
36,2,20,1500,0.3486707082943739,1.1237262806064985
37,2,20,5000,0.5870401540006637,1.1017770210859257
38,2,20,15000,0.5841387194807295,1.2019287078600522
39,2,20,50000,0.4890847187299693,1.1763479582414833
40,2,20,150000,0.3601524765962817,1.2732388504092689
41,2,20,500000,0.4212653255757758,1.1333406618378286
42,2,60,1500,0.127947948400012,1.237832621619579
43,2,60,5000,0.3506237510072543,1.1632070911724572
44,2,60,15000,0.5560640179974891,1.16056316371245
45,2,60,50000,0.5102759596595488,1.2694795558444536
46,2,60,150000,0.433166371844395,1.2172905319757517
47,2,60,500000,0.3072802988030503,1.316274557071163
48,2,200,1500,0.0299188741578794,1.3688323509830058
49,2,200,5000,0.1190627275403946,1.2602108254154731
50,2,200,15000,0.2653419547903341,1.2347503731245058
51,2,200,50000,0.4712329808569017,1.1628862717636113
52,2,200,150000,0.4829408621256584,1.1884860389949654
53,2,200,500000,0.3631857294728474,1.2602931109913906
54,2,600,1500,0.0126157713182394,1.4751365065718869
55,2,600,5000,0.0333248374868092,1.3842693109360793
56,2,600,15000,0.1083472917771125,1.3006459709637692
57,2,600,50000,0.2557152537325654,1.2357657569123397
58,2,600,150000,0.4053983151845748,1.2092967810773252
59,2,600,500000,0.4145184077806452,1.212757917563891
60,2,2000,1500,0.0081095015052057,1.5256303042534611
61,2,2000,5000,0.0126461113890835,1.4766703642869077
62,2,2000,15000,0.0304339414152808,1.392445135530311
63,2,2000,50000,0.0968876383437992,1.350701086875593
64,2,2000,150000,0.2433435724231122,1.2382557753654089
65,2,2000,500000,0.4021005395026321,1.1993106423183764
66,2,6000,1500,0.0073909477926756,1.5237958041600377
67,2,6000,5000,0.008666917280201,1.5097545122892115
68,2,6000,15000,0.0128864191758641,1.4718914914483805
69,2,6000,50000,0.0320356552816916,1.4046298489244442
70,2,6000,150000,0.103117737480285,1.3215232498720226
71,2,6000,500000,0.2742934490371625,1.2007534439887249
72,1,6000,1,0.0523001515982857,1.053952410643035
73,1,6000,10,0.0504341091852896,1.0628614732894897
74,2,6000,1,0.0067844469102476,1.5356216775383955
75,2,6000,10,0.0071171000988141,1.522548992228192
