,nOfCon,Dc,sAEC,beta,gamma
0,1,20,1500,5.877394434349373,0.9220251884251623
1,1,20,5000,7.614015509789199,0.9090540480657612
2,1,20,15000,8.549964663979212,0.9067745281066912
3,1,20,50000,9.838527529406422,0.965795568255409
4,1,20,150000,8.253166999740651,0.9186679070509804
5,1,20,500000,7.82862202397828,0.9718426539507008
6,1,60,1500,3.3428267210544123,0.9420429990014216
7,1,60,5000,5.870743048422006,0.9029538220961496
8,1,60,15000,7.2721831854507,0.8867029768456023
9,1,60,50000,8.20028338506939,0.8865963145893401
10,1,60,150000,8.416868417628349,0.8950682736153073
11,1,60,500000,8.11656972628073,0.9081169703363436
12,1,200,1500,1.924411411347416,1.0213456216123482
13,1,200,5000,3.630874472388122,0.9541170083459264
14,1,200,15000,5.777246748930595,0.9248065113843718
15,1,200,50000,7.483526020315911,0.921095041188092
16,1,200,150000,8.42923607880656,0.918140856148727
17,1,200,500000,8.323706257654084,0.9002996572512799
18,1,600,1500,1.6057754286400951,1.0335446917842348
19,1,600,5000,2.1243593189605847,1.0150446868215175
20,1,600,15000,3.882673196949115,0.943181844011602
21,1,600,50000,6.1982172318779645,0.9234453094702052
22,1,600,150000,7.440440183252009,0.8974830024652604
23,1,600,500000,8.88316875939628,0.9304136558964295
24,1,2000,1500,1.4736235427200255,1.0348628864291856
25,1,2000,5000,1.5987345198017804,1.0340558870225451
26,1,2000,15000,2.0333126052516137,1.0191170758051542
27,1,2000,50000,3.983883447373555,0.960880409484177
28,1,2000,150000,6.2468244903325845,0.942012810228244
29,1,2000,500000,7.573870361328927,0.8876817672727433
30,1,6000,1500,1.4348364065642225,1.0594698776449398
31,1,6000,5000,1.4782369981728865,1.0485615576058105
32,1,6000,15000,1.5970121420743086,1.0418650402978595
33,1,6000,50000,2.1129717202532383,1.0087604268723316
34,1,6000,150000,3.8781909265929673,0.9485040042678726
35,1,6000,500000,6.231798245611569,0.9272515176613528
36,2,20,1500,4.909833316320172,0.9341542940726276
37,2,20,5000,6.983395823252888,0.976540487401481
38,2,20,15000,7.181416261221093,0.9792519503196904
39,2,20,50000,7.313478010097215,1.0051045021773084
40,2,20,150000,6.639825874894676,0.9946731274813372
41,2,20,500000,5.993307476076042,1.0401288195392333
42,2,60,1500,2.6698943913259408,1.0578070050167343
43,2,60,5000,5.081633602832032,0.9623772197242586
44,2,60,15000,6.264572934152666,0.9481682857747942
45,2,60,50000,6.984513228871943,0.9735049841668216
46,2,60,150000,8.366387440452156,1.105949408240774
47,2,60,500000,7.013668326679502,1.0583784573294257
48,2,200,1500,1.3899528241470769,1.2774108646496412
49,2,200,5000,3.000306266505409,1.0894601226031018
50,2,200,15000,4.94979601602406,1.0010141721089691
51,2,200,50000,6.3295376694620265,0.9815815867846004
52,2,200,150000,6.990178331241314,0.9918009031753012
53,2,200,500000,7.357502050152835,1.033319993975362
54,2,600,1500,1.065924568965757,1.3581858377377294
55,2,600,5000,1.5704596305115208,1.2533307324736795
56,2,600,15000,3.176395800106597,1.0680024328786475
57,2,600,50000,5.229994787984751,0.9926064911665584
58,2,600,150000,6.362110317719429,0.9713588772143548
59,2,600,500000,7.001035660698391,0.9759904619085574
60,2,2000,1500,0.9458667498001327,1.3734931413689395
61,2,2000,5000,1.0678877100094708,1.3414345833626755
62,2,2000,15000,1.497583488811741,1.2617757685716244
63,2,2000,50000,3.256981436925133,1.074468683916419
64,2,2000,150000,5.151867295959371,0.9932675013250376
65,2,2000,500000,6.510602527776453,0.9791277067790926
66,2,6000,1500,0.9087786928513056,1.3885037908021702
67,2,6000,5000,0.9509431508993104,1.3747233067382847
68,2,6000,15000,1.0784500671683588,1.3379825076848844
69,2,6000,50000,1.574735213511559,1.2589825653248998
70,2,6000,150000,3.226205798760529,1.0884049875808466
71,2,6000,500000,5.183015000834412,0.987004901098853
72,3,20,1500,4.842787262026897,1.0424969790588643
73,3,20,5000,6.314198470926387,1.04422891953908
74,3,20,15000,6.751929034320897,1.0717787128946692
75,3,20,50000,6.919677405973846,1.135189252582302
76,3,20,150000,6.206684893322151,1.1305937959540249
77,3,20,500000,5.416254949839946,1.1601470294333125
78,3,60,1500,2.402126333124447,1.1912040563103206
79,3,60,5000,4.8684959478466014,1.077595243882009
80,3,60,15000,6.2328676772450695,1.1033192235860607
81,3,60,50000,6.765395073345329,1.1069848164783067
82,3,60,150000,6.653508105544415,1.117043299984268
83,3,60,500000,6.301008183759111,1.1587816520168612
84,3,200,1500,1.103228741037784,1.4390902662909393
85,3,200,5000,2.621045238350563,1.2080910781386804
86,3,200,15000,4.473273421847085,1.0755682579494326
87,3,200,50000,5.915402303746672,1.0795349453898904
88,3,200,150000,6.458543659721717,1.0983639048956275
89,3,200,500000,6.551059207380293,1.1192906767532755
90,3,600,1500,0.8025004781770886,1.554492065010605
91,3,600,5000,1.284252093997985,1.393647739056221
92,3,600,15000,2.8360814458640644,1.2056878222209395
93,3,600,50000,4.955663399766472,1.1215847071135794
94,3,600,150000,6.08743567461781,1.0885687608403287
95,3,600,500000,6.581132288100269,1.0905556029632593
96,3,2000,1500,0.6925943374257353,1.5924237231634133
97,3,2000,5000,0.8081541898756142,1.5572197796447675
98,3,2000,15000,1.1940188303584314,1.418170753806713
99,3,2000,50000,2.7803421859914583,1.1797760998824829
100,3,2000,150000,4.750773788876737,1.11253482259615
101,3,2000,500000,5.8445949769123,1.0573400697848003
102,3,6000,1500,0.6702947660827684,1.5899062442420595
103,3,6000,5000,0.7002061773490514,1.5927985981189474
104,3,6000,15000,0.8113663320167857,1.552715718548617
105,3,6000,50000,1.2835983887224498,1.4324438805003388
106,3,6000,150000,2.8416617755061733,1.182928936991547
107,3,6000,500000,4.72500617316687,1.07650347085872
108,1,6000,1,1.4196536240640825,1.0500016737392222
109,1,6000,10,1.419518619209584,1.0454520331464263
110,2,6000,1,0.8990872553256005,1.3686226971660576
111,2,6000,10,0.8975140007480601,1.3814414755301918
112,3,6000,1,0.6453969478408176,1.6204062745150372
113,3,6000,10,0.6522437681090222,1.6217618368814806
