,nOfCon,Dc,sAEC,Lambda
0,1,20,1500,0.5821046033160675
1,1,20,5000,0.9296984909148016
2,1,20,15000,1.0506900251040696
3,1,20,50000,1.017418710561998
4,1,20,150000,0.8915919043151027
5,1,20,500000,0.8972025385429861
6,1,60,1500,0.3046302275777112
7,1,60,5000,0.6288595133888764
8,1,60,15000,0.954313783973276
9,1,60,50000,1.088063181441281
10,1,60,150000,0.9788231454430744
11,1,60,500000,0.7900228117146877
12,1,200,1500,0.1236316503886343
13,1,200,5000,0.3005896698938464
14,1,200,15000,0.5565339539777869
15,1,200,50000,0.8416465659555691
16,1,200,150000,0.9421232070238638
17,1,200,500000,0.8651054440201754
18,1,600,1500,0.0816994518794886
19,1,600,5000,0.138252528192879
20,1,600,15000,0.2858586658492119
21,1,600,50000,0.5518254510678868
22,1,600,150000,0.8039534241575443
23,1,600,500000,0.8649911698726962
24,1,2000,1500,0.0672523305349815
25,1,2000,5000,0.0824496597979312
26,1,2000,15000,0.1298850780032497
27,1,2000,50000,0.2888150981530141
28,1,2000,150000,0.5326894106137485
29,1,2000,500000,0.7832596759644515
30,1,6000,1500,0.0626464851262218
31,1,6000,5000,0.0679285968156719
32,1,6000,15000,0.0821462836262057
33,1,6000,50000,0.139175666117209
34,1,6000,150000,0.292488500511519
35,1,6000,500000,0.5558485576528807
36,1,6000,1,0.0613823362828906
37,1,6000,10,0.0607966359177464
