,nOfCon,nOfM,Dc,sAEC,infScore,confidence_int_95
0,1,2,20,1500,0.2998,0.012699830851912949
1,1,2,20,5000,0.153,0.00997834440776625
2,1,2,20,15000,0.1218,0.00906549305902332
3,1,2,20,50000,0.1294,0.009303525209553635
4,1,2,20,150000,0.166,0.010313549053550869
5,1,2,20,500000,0.164,0.010263515249659835
6,1,2,60,1500,0.526,0.013840542463357424
7,1,2,60,5000,0.278,0.012418297673997028
8,1,2,60,15000,0.1474,0.00982635556840887
9,1,2,60,50000,0.112,0.008741512107181456
10,1,2,60,150000,0.1396,0.009606473281532614
11,1,2,60,500000,0.2036,0.011161577566491217
12,1,2,200,1500,0.7732,0.011607495313081114
13,1,2,200,5000,0.5382,0.013818785645750497
14,1,2,200,15000,0.3206,0.012936464452268247
15,1,2,200,50000,0.183,0.010717849202148721
16,1,2,200,150000,0.1512,0.00993000918525255
17,1,2,200,500000,0.1744,0.010517902766464426
18,1,2,600,1500,0.849,0.00992460859077072
19,1,2,600,5000,0.7532,0.011950850195831256
20,1,2,600,15000,0.5552,0.013774574339238217
21,1,2,600,50000,0.3274,0.013007350355733483
22,1,2,600,150000,0.1964,0.011011887729758238
23,1,2,600,500000,0.1748,0.010527406502420242
24,1,2,2000,1500,0.8718,0.00926666608890166
25,1,2,2000,5000,0.8448,0.010036767877519137
26,1,2,2000,15000,0.7594,0.011848249121486262
27,1,2,2000,50000,0.548,0.013795281465776622
28,1,2,2000,150000,0.3312,0.013045609229898005
29,1,2,2000,500000,0.206,0.01121024051838318
30,1,2,6000,1500,0.8776,0.009084689436452959
31,1,2,6000,5000,0.872,0.009260497023378389
32,1,2,6000,15000,0.8444,0.010047314063211122
33,1,2,6000,50000,0.7474,0.012043820911853515
34,1,2,6000,150000,0.5512,0.013786438815705815
35,1,2,6000,500000,0.3182,0.012910696003051112
36,1,4,20,1500,0.1108,0.008700429182241528
37,1,4,20,5000,0.0328,0.004937034191820024
38,1,4,20,15000,0.0168,0.0035624325064764384
39,1,4,20,50000,0.0216,0.004029546453485802
40,1,4,20,150000,0.0342,0.005037646890682196
41,1,4,20,500000,0.0332,0.004966019629763862
42,1,4,60,1500,0.2978,0.012675462900075879
43,1,4,60,5000,0.089,0.007892693917795115
44,1,4,60,15000,0.0242,0.00425950526178804
45,1,4,60,50000,0.0192,0.0038037495337101255
46,1,4,60,150000,0.0254,0.004361151071540632
47,1,4,60,500000,0.0472,0.005878180838592838
48,1,4,200,1500,0.6104,0.013517233182452687
49,1,4,200,5000,0.3028,0.012735842915614186
50,1,4,200,15000,0.1154,0.00885620051877779
51,1,4,200,50000,0.0408,0.005483473333134757
52,1,4,200,150000,0.0252,0.0043443929457635385
53,1,4,200,500000,0.0392,0.005379359883406203
54,1,4,600,1500,0.7378,0.012191488639669889
55,1,4,600,5000,0.5722,0.013714039185127043
56,1,4,600,15000,0.3144,0.012869087161286928
57,1,4,600,50000,0.1118,0.00873468716802153
58,1,4,600,150000,0.0486,0.005960336474797375
59,1,4,600,500000,0.0382,0.005313065096834406
60,1,4,2000,1500,0.783,0.011425673700924597
61,1,4,2000,5000,0.7238,0.012393449334999517
62,1,4,2000,15000,0.6008,0.01357473303881885
63,1,4,2000,50000,0.3116,0.01283778873719302
64,1,4,2000,150000,0.1306,0.0093401204213222
65,1,4,2000,500000,0.0486,0.005960336474797375
66,1,4,6000,1500,0.7926,0.011238348081315155
67,1,4,6000,5000,0.7788,0.0115047345323219
68,1,4,6000,15000,0.723,0.012404523961845533
69,1,4,6000,50000,0.5656,0.013739492073755856
70,1,4,6000,150000,0.303,0.012738220798840003
71,1,4,6000,500000,0.118,0.008942240900356018
72,1,6,20,1500,0.041,0.0054963236877025356
73,1,6,20,5000,0.0052,0.0019936119550203347
74,1,6,20,15000,0.0026,0.0014115375151939815
75,1,6,20,50000,0.0044,0.0018345935039675684
76,1,6,20,150000,0.0058,0.002104853846517615
77,1,6,20,500000,0.0088,0.0025887675251362375
78,1,6,60,1500,0.1632,0.01024334929225788
79,1,6,60,5000,0.028,0.004572810636796586
80,1,6,60,15000,0.0064,0.0022103795178204126
81,1,6,60,50000,0.0026,0.0014115375151939815
82,1,6,60,150000,0.0034,0.0016135074281824673
83,1,6,60,500000,0.0114,0.0029426173949054267
84,1,6,200,1500,0.4638,0.013822921642662958
85,1,6,200,5000,0.1616,0.010202753219636354
86,1,6,200,15000,0.0424,0.0055852943554301595
87,1,6,200,50000,0.0102,0.002785126206691539
88,1,6,200,150000,0.005,0.00195509385963948
89,1,6,200,500000,0.0062,0.002175787163120511
90,1,6,600,1500,0.6242,0.013424908650534646
91,1,6,600,5000,0.4302,0.013723582412300369
92,1,6,600,15000,0.1864,0.01079442450215851
93,1,6,600,50000,0.043,0.00562291172970019
94,1,6,600,150000,0.0112,0.0029169857625980966
95,1,6,600,500000,0.0062,0.002175787163120511
96,1,6,2000,1500,0.6838,0.01288892065687426
97,1,6,2000,5000,0.6036,0.013558526917508407
98,1,6,2000,15000,0.4586,0.013811702655820535
99,1,6,2000,50000,0.186,0.010785486603765266
100,1,6,2000,150000,0.0512,0.0061093272313078794
101,1,6,2000,500000,0.0136,0.0032104584614662123
102,1,6,6000,1500,0.699,0.012714313181607569
103,1,6,6000,5000,0.6714,0.01301953631174321
104,1,6,6000,15000,0.624,0.013426329047062716
105,1,6,6000,50000,0.4322,0.01373128383987455
106,1,6,6000,150000,0.1752,0.010536889999767483
107,1,6,6000,500000,0.0446,0.005721779494947354
108,1,8,20,1500,0.016,0.003477992248409993
109,1,8,20,5000,0.0008,0.0007836863372548995
110,1,8,20,15000,0.0004,0.0005542608310173108
111,1,8,20,50000,0.0014,0.0010364082655015833
112,1,8,20,150000,0.0016,0.0011078560830721652
113,1,8,20,500000,0.002,0.001238372609516215
114,1,8,60,1500,0.0898,0.007924605528807097
115,1,8,60,5000,0.0104,0.0028120146708009897
116,1,8,60,15000,0.002,0.001238372609516215
117,1,8,60,50000,0.0004,0.0005542608310173108
118,1,8,60,150000,0.0014,0.0010364082655015833
119,1,8,60,500000,0.0032,0.0015654891897422991
120,1,8,200,1500,0.371,0.013390085394798645
121,1,8,200,5000,0.094,0.008089079334510202
122,1,8,200,15000,0.0158,0.00345653766002918
123,1,8,200,50000,0.0022,0.001298686001772561
