,nOfCon,nOfM,Dc,sAEC,infScore,confidence_int_95
0,1,0.1,20,1500,0.4916,0.013857336949818316
1,1,0.1,20,5000,0.388,0.013507116417651843
2,1,0.1,20,15000,0.3456,0.013181947615007428
3,1,0.1,20,50000,0.3454,0.013180146461583801
4,1,0.1,20,150000,0.3678,0.013366083730517328
5,1,0.1,20,500000,0.435,0.013741682866374116
6,1,0.1,60,1500,0.6858,0.012866869609784658
7,1,0.1,60,5000,0.4772,0.013844876183310562
8,1,0.1,60,15000,0.3872,0.013502000564775577
9,1,0.1,60,50000,0.3442,0.013169285360838681
10,1,0.1,60,150000,0.3414,0.013143580541572376
11,1,0.1,60,500000,0.3648,0.01334300745661187
12,1,0.1,200,1500,0.8176,0.010704192916647195
13,1,0.1,200,5000,0.6752,0.012980615812325699
14,1,0.1,200,15000,0.5036,0.013858933673728292
15,1,0.1,200,50000,0.4076,0.013620582521933487
16,1,0.1,200,150000,0.3622,0.013322555852808423
17,1,0.1,200,500000,0.3494,0.013215681057168412
18,1,0.1,600,1500,0.8484,0.009940792297437865
19,1,0.1,600,5000,0.818,0.01069506467114622
20,1,0.1,600,15000,0.6388,0.013314577617754156
21,1,0.1,600,50000,0.4784,0.013846354488485408
22,1,0.1,600,150000,0.3878,0.013505841049383042
23,1,0.1,600,500000,0.3536,0.013251891494152825
24,1,0.1,2000,1500,0.8596,0.009629479800529205
25,1,0.1,2000,5000,0.8516,0.009853847710453008
26,1,0.1,2000,15000,0.8152,0.010758559798932197
27,1,0.1,2000,50000,0.6428,0.013282038303332813
28,1,0.1,2000,150000,0.4938,0.013858227367856251
29,1,0.1,2000,500000,0.3772,0.013434800234138206
30,1,0.1,6000,1500,0.872,0.009260497023378389
31,1,0.1,6000,5000,0.8636,0.009513374014133996
32,1,0.1,6000,15000,0.8476,0.00996228648839211
33,1,0.1,6000,50000,0.8006,0.011074941453786562
34,1,0.1,6000,150000,0.6382,0.01331937205438755
35,1,0.1,6000,500000,0.4774,0.013845128127857827
36,1,0.2,20,1500,0.271,0.012320248815669267
37,1,0.2,20,5000,0.1812,0.010676750225569577
38,1,0.2,20,15000,0.1406,0.009635214872788256
39,1,0.2,20,50000,0.1246,0.009154473281887933
40,1,0.2,20,150000,0.157,0.010084042855918454
41,1,0.2,20,500000,0.192,0.01091760466036392
42,1,0.2,60,1500,0.4828,0.01385109021742332
43,1,0.2,60,5000,0.2604,0.012164380892951354
44,1,0.2,60,15000,0.1798,0.010644512967120665
45,1,0.2,60,50000,0.142,0.009675176252658138
46,1,0.2,60,150000,0.1406,0.009635214872788256
47,1,0.2,60,500000,0.158,0.010110104822404166
48,1,0.2,200,1500,0.6982,0.012723910603395483
49,1,0.2,200,5000,0.4544,0.013801535643717333
50,1,0.2,200,15000,0.2748,0.012373949267198406
51,1,0.2,200,50000,0.1838,0.010735990485241684
52,1,0.2,200,150000,0.1442,0.009737328920972114
53,1,0.2,200,500000,0.1462,0.009793159564675743
54,1,0.2,600,1500,0.7388,0.012176461470361576
55,1,0.2,600,5000,0.6666,0.01306731985300735
56,1,0.2,600,15000,0.4362,0.013746003038672733
57,1,0.2,600,50000,0.245,0.011921408977130177
58,1,0.2,600,150000,0.1786,0.010616690226845653
59,1,0.2,600,500000,0.1352,0.009478012027171098
60,1,0.2,2000,1500,0.7632,0.01178368431023167
61,1,0.2,2000,5000,0.736,0.01221833250816166
62,1,0.2,2000,15000,0.6684,0.0130495804982689
63,1,0.2,2000,50000,0.434,0.013738020165948222
64,1,0.2,2000,150000,0.2494,0.011992882364335938
65,1,0.2,2000,500000,0.1582,0.010115300043162337
66,1,0.2,6000,1500,0.775,0.011574791574797362
67,1,0.2,6000,5000,0.766,0.011735278014601953
68,1,0.2,6000,15000,0.7446,0.01208768215121493
69,1,0.2,6000,50000,0.6622,0.013109782303730295
70,1,0.2,6000,150000,0.4422,0.01376637809342748
71,1,0.2,6000,500000,0.2524,0.012040662709203342
72,1,0.3,20,1500,0.1442,0.009737328920972114
73,1,0.3,20,5000,0.0714,0.007137309252988833
74,1,0.3,20,15000,0.0532,0.0062209399613884706
75,1,0.3,20,50000,0.0432,0.0056353841469060474
76,1,0.3,20,150000,0.0648,0.0068235569600612256
77,1,0.3,20,500000,0.0872,0.007820186804111522
78,1,0.3,60,1500,0.3376,0.01310787979487148
79,1,0.3,60,5000,0.1346,0.009460237609531803
80,1,0.3,60,15000,0.0806,0.007545548931973074
81,1,0.3,60,50000,0.057,0.00642634953297749
82,1,0.3,60,150000,0.0512,0.0061093272313078794
83,1,0.3,60,500000,0.0636,0.006764416333491013
84,1,0.3,200,1500,0.5746,0.013704166383578388
85,1,0.3,200,5000,0.313,0.012853506055547647
86,1,0.3,200,15000,0.1444,0.009742940576889505
87,1,0.3,200,50000,0.083,0.007647065026531422
88,1,0.3,200,150000,0.0614,0.006654195092781695
89,1,0.3,200,500000,0.0584,0.00649996050301846
90,1,0.3,600,1500,0.6306,0.013378163457096791
91,1,0.3,600,5000,0.5368,0.013821704320495357
92,1,0.3,600,15000,0.2814,0.012464553390025652
93,1,0.3,600,50000,0.131,0.00935226071492877
94,1,0.3,600,150000,0.0776,0.007415860931597895
95,1,0.3,600,500000,0.0524,0.006176596609525346
96,1,0.3,2000,1500,0.6332,0.013358453584273892
97,1,0.3,2000,5000,0.6268,0.013406221191790026
98,1,0.3,2000,15000,0.5572,0.013768303449997025
99,1,0.3,2000,50000,0.2896,0.012572505212120614
100,1,0.3,2000,150000,0.1286,0.009278981979333724
101,1,0.3,2000,500000,0.0726,0.0071923849783503664
102,1,0.3,6000,1500,0.6632,0.013100243536789688
103,1,0.3,6000,5000,0.6556,0.013171101999635414
104,1,0.3,6000,15000,0.638,0.013320965202266688
105,1,0.3,6000,50000,0.5416,0.013811240934137672
106,1,0.3,6000,150000,0.2936,0.01262334466030299
107,1,0.3,6000,500000,0.1204,0.009020423401858695
108,1,0.4,20,1500,0.0728,0.007201508378888412
109,1,0.4,20,5000,0.033,0.004951551223606599
110,1,0.4,20,15000,0.0238,0.0042250217536954765
111,1,0.4,20,50000,0.0202,0.0038995587836574536
112,1,0.4,20,150000,0.0246,0.004293683205454263
113,1,0.4,20,500000,0.0428,0.0056104061075112925
114,1,0.4,60,1500,0.2354,0.011759570098808883
115,1,0.4,60,5000,0.0746,0.007282914819548558
116,1,0.4,60,15000,0.0344,0.0050518322265095065
117,1,0.4,60,50000,0.0272,0.004508865725567795
118,1,0.4,60,150000,0.0254,0.004361151071540632
119,1,0.4,60,500000,0.0254,0.004361151071540632
120,1,0.4,200,1500,0.4702,0.013834655800098534
121,1,0.4,200,5000,0.2226,0.011530706486456065
122,1,0.4,200,15000,0.08,0.007519863828554344
123,1,0.4,200,50000,0.0388,0.00535295771879435
124,1,0.4,200,150000,0.0278,0.004556918648736226
125,1,0.4,200,500000,0.0206,0.003937175094506212
126,1,0.4,600,1500,0.555,0.013775189000518287
127,1,0.4,600,5000,0.4226,0.013692230617280735
128,1,0.4,600,15000,0.196,0.011003405785482966
129,1,0.4,600,50000,0.0656,0.006862611342980164
130,1,0.4,600,150000,0.0336,0.0049948122540091535
131,1,0.4,600,500000,0.026,0.00441100166402145
132,1,0.4,2000,1500,0.5652,0.013740954877562184
133,1,0.4,2000,5000,0.5512,0.013786438815705815
134,1,0.4,2000,15000,0.4566,0.01380698457958145
135,1,0.4,2000,50000,0.1866,0.010798886408366373
136,1,0.4,2000,150000,0.0732,0.007219707822564567
137,1,0.4,2000,500000,0.0404,0.005457664961208227
138,1,0.4,6000,1500,0.5904,0.01363089014073549
139,1,0.4,6000,5000,0.5684,0.013728997369830034
140,1,0.4,6000,15000,0.544,0.013805525432956184
141,1,0.4,6000,50000,0.4346,0.01374022461347703
142,1,0.4,6000,150000,0.1912,0.010900228057210547
143,1,0.4,6000,500000,0.073,0.007210615973687684
144,1,0.5,20,1500,0.0444,0.0057095334909955655
145,1,0.5,20,5000,0.015,0.0033692622337835325
146,1,0.5,20,15000,0.0104,0.0028120146708009897
147,1,0.5,20,50000,0.0092,0.002646415197054309
148,1,0.5,20,150000,0.0078,0.0024384731721304623
149,1,0.5,20,500000,0.0186,0.00374498918727411
150,1,0.5,60,1500,0.1782,0.01060737658439635
151,1,0.5,60,5000,0.042,0.005560047078937372
152,1,0.5,60,15000,0.0184,0.003725179939385479
153,1,0.5,60,50000,0.0102,0.002785126206691539
154,1,0.5,60,150000,0.0114,0.0029426173949054267
155,1,0.5,60,500000,0.011,0.002891116268848418
156,1,0.5,200,1500,0.388,0.013507116417651843
157,1,0.5,200,5000,0.1406,0.009635214872788256
158,1,0.5,200,15000,0.0492,0.005995124508732075
159,1,0.5,200,50000,0.0192,0.0038037495337101255
160,1,0.5,200,150000,0.0134,0.003187087771116447
161,1,0.5,200,500000,0.012,0.003018145443811481
162,1,0.5,600,1500,0.4532,0.013798448999912996
163,1,0.5,600,5000,0.3422,0.013150976640964731
164,1,0.5,600,15000,0.1328,0.009406536419490437
165,1,0.5,600,50000,0.0412,0.005509138489745924
166,1,0.5,600,150000,0.0178,0.003665059548111053
167,1,0.5,600,500000,0.014,0.0032566684326163753
168,1,0.5,2000,1500,0.4982,0.013859203102747285
169,1,0.5,2000,5000,0.453,0.013797926696427982
170,1,0.5,2000,15000,0.3618,0.01331937205438755
171,1,0.5,2000,50000,0.1262,0.009204639135740194
172,1,0.5,2000,150000,0.0434,0.005647823579114348
173,1,0.5,2000,500000,0.0176,0.003644782187840585
174,1,0.5,6000,1500,0.5,0.013859292911256331
175,1,0.5,6000,5000,0.4932,0.013858011144576266
176,1,0.5,6000,15000,0.4594,0.013813527139901667
