id;time;nOfC;nOfM;
1;0;1;3;
1;1;1;3;
1;2;1;3;
1;3;1;3;
1;4;1;3;
1;5;1;3;
1;6;1;3;
1;7;1;4;
1;8;1;4;
1;9;1;3;
1;10;1;3;
1;11;1;4;
1;12;1;4;
1;13;1;4;
1;14;1;4;
1;15;1;4;
1;16;1;4;
1;17;1;4;
1;18;1;3;
1;19;1;3;
1;20;1;3;
1;21;1;3;
1;22;1;3;
1;23;1;3;
1;24;1;3;
1;25;1;3;
1;26;1;4;
1;27;1;4;
1;28;1;4;
1;29;1;4;
1;30;1;4;
1;31;1;4;
1;32;1;4;
1;33;1;4;
1;34;1;4;
1;35;1;3;
1;36;1;3;
1;37;1;3;
1;38;1;3;
1;39;1;3;
1;40;1;3;
1;41;1;3;
1;42;1;4;
1;43;1;4;
1;44;1;3;
1;45;1;3;
1;46;1;3;
1;47;1;3;
1;48;1;3;
1;49;1;3;
1;50;1;3;
1;51;1;3;
1;52;1;3;
1;53;1;3;
1;54;1;3;
1;55;1;3;
1;56;1;3;
1;57;1;3;
1;58;1;3;
1;59;1;3;
1;60;1;3;
1;61;1;3;
1;62;1;3;
1;63;1;3;
1;64;1;3;
1;65;1;3;
1;66;1;3;
1;67;1;3;
1;68;1;3;
1;69;1;3;
1;70;1;3;
1;71;1;4;
1;72;1;4;
1;73;1;3;
1;74;1;4;
1;75;1;4;
1;76;1;4;
1;77;1;4;
1;78;1;4;
1;79;1;4;
1;80;1;4;
1;81;1;4;
1;82;1;4;
1;83;1;4;
1;84;1;4;
1;85;1;5;
1;86;1;5;
1;87;1;5;
1;88;1;5;
1;89;1;5;
1;90;1;6;
1;91;1;6;
1;92;1;6;
1;93;1;6;
1;94;1;6;
1;95;1;6;
1;96;1;6;
1;97;1;5;
1;98;1;5;
1;99;1;5;
1;100;1;5;
1;101;1;5;
1;102;1;5;
1;103;1;5;
1;104;1;5;
1;105;1;5;
1;106;1;5;
1;107;1;5;
1;108;1;5;
1;109;1;5;
1;110;1;5;
1;111;1;5;
1;112;1;5;
1;113;1;5;
1;114;1;5;
1;115;1;5;
1;116;1;5;
1;117;1;5;
1;118;1;6;
1;119;1;6;
1;120;1;5;
1;121;1;5;
1;122;1;5;
1;123;1;4;
1;124;1;4;
1;125;1;4;
1;126;1;3;
1;127;1;3;
1;128;1;3;
1;129;1;3;
1;130;1;3;
1;131;1;3;
1;132;1;3;
1;133;1;3;
1;134;1;3;
1;135;1;3;
1;136;1;3;
1;137;1;3;
1;138;1;3;
1;139;1;3;
1;140;1;3;
1;141;1;3;
1;142;1;3;
1;143;1;5;
1;144;1;4;
1;145;1;4;
1;146;1;4;
1;147;1;4;
1;148;1;3;
1;149;1;3;
