"","V5","V6","V7","Num"
"",113.846, -24.1464, 5.32178, 21
"",-36.7692, 101.447, 43.9182, 21
"",-2.79691, -19.6566, -114.796, 21
"",-30.4229, 110.498, 20.9023, 21
"",-46.6943, -63.3851, -85.8733, 21
"",-93.5624, 69.3564, -2.83061, 21
"",40.0184, 97.0268, -50.5626, 21
"",-56.065, 97.5713, -30.1464, 21
"",-78.9772, -16.6014, -84.0194, 21
"",105.539, -17.5097, -46.1217, 21
"",35.254, 51.601, -98.3196, 21
"",-21.2848, -112.004, 23.9634, 21
"",-2.12009, 115.853, 12.075, 21
"",-15.2956, 27.295, -112.22, 21
"",98.1732, -62.3457, 6.87606, 21
"",-102.41, 26.2538, -48.9398, 21
"",-13.8689, 85.6468, -77.7466, 21
"",101.101, 36.5263, 44.9073, 21
"",24.4997, -101.118, 52.4126, 21
"",58.3835, 1.5882, -100.802, 21
"",17.9909, 63.6649, -95.8924, 21
