"","V5","V6","V7","Num"
"532046",-18.9343,-21.4915,-112.924,13
"532047",-0.538218,1.28794,-116.492,13
"532048",75.2018,-88.8328,-5.06688,13
"532049",13.7548,-115.494,6.65348,13
"532050",-107.706,42.0283,14.3296,13
"532051",107.075,-25.6751,38.051,13
"532052",108.354,-9.46833,41.7386,13
"532053",-54.1042,90.837,48.9246,13
"532054",89.7362,-67.64,30.7328,13
"532055",42.8187,94.7856,52.4833,13
"532056",-77.1558,-73.1575,47.6154,13
"532057",40.5002,-96.7662,50.6783,13
"532058",38.0172,96.4596,53.1271,13
