"","V5","V6","V7","Num"
"6893",-50.7892,-104.75,4.48232,15
"6894",34.7144,105.837,34.1407,15
"6895",-52.5362,-96.4965,38.738,15
"6896",46.8499,-66.1421,-83.6813,15
"6897",-64.2011,86.828,43.7193,15
"6898",5.17224,75.9729,-88.1681,15
"6899",-77.8848,-86.518,4.56516,15
"6900",2.18572,110.732,36.1363,15
"6901",-28.1136,-107.363,-35.4271,15
"6902",-115.089,-17.5002,4.52699,15
"6903",-114.577,17.5602,11.6658,15
"6904",-96.2335,36.9442,54.2816,15
"6905",-93.1912,66.3655,21.9833,15
"6906",50.0339,92.1895,-50.6947,15
"6907",-51.6773,-42.08,-95.5562,15
